boolean,变流器侧无并网响应,157,5
boolean,变流器运行范围外,158,5
boolean,变流器环境温度高,159,5
boolean,变流器UPS电源故障,160,5
boolean,变流器温度低,161,3
boolean,变流器侧并网反馈丢失,162,5
boolean,备用,163,-1
boolean,与WP4084振动模块100通讯故障,164,5
boolean,振动开关动作,165,5
boolean,振动传感器100系统故障,166,5
boolean,振动传感器101系统故障,167,5
boolean,与WP4084振动模块101通讯故障,168,5
boolean,振动传感器100通道1报警,169,3
boolean,振动传感器100通道2报警,170,3
boolean,振动传感器101通道1报警,171,3
boolean,振动传感器101通道2报警,172,3
boolean,振动传感器100通道1振动过大,173,5
boolean,振动传感器100通道2振动过大,174,5
boolean,振动传感器101通道1振动过大,175,5
boolean,振动传感器101通道2振动过大,176,5
boolean,备用,177,-1
boolean,备用,178,-1
boolean,备用,179,-1
boolean,备用,180,-1
boolean,备用,181,-1
boolean,备用,182,-1
boolean,备用,183,-1
boolean,备用,184,-1
boolean,备用,185,-1
boolean,发电机定子绕组过热开关动作,186,5
boolean,发电机定子绕组温度1高,187,3
boolean,发电机定子绕组温度1过高,188,5
boolean,环境温度高,189,2
boolean,环境温度低,190,2
boolean,齿轮箱前轴承温度高,191,3
boolean,齿轮箱前轴承温度过高,192,5
boolean,齿轮箱后轴承温度高,193,3
boolean,齿轮箱后轴承温度过高,194,5
boolean,齿轮油温度高,195,5
boolean,齿轮油温度低,196,3
boolean,主轴承温度高,197,3
boolean,主轴承温度过高,198,5
boolean,发电机前轴承温度高,199,3
boolean,发电机前轴承温度过高,200,5
boolean,机舱温度过高,201,5
boolean,机舱温度高,202,3
boolean,机舱温度低,203,5
boolean,发电机后轴承温度高,204,3
boolean,发电机后轴承温度过高,205,5
boolean,发电机定子绕组温度2高,206,3
boolean,发电机定子绕组温度2过高,207,5
boolean,发电机定子绕组温度3高,208,3
boolean,发电机定子绕组温度3过高,209,5
boolean,备用,210,-1
boolean,齿轮箱散热风扇过载,211,5
boolean,齿轮箱加热器过载,212,5
boolean,齿轮油泵过载,213,5
boolean,齿轮油压力高,214,5
boolean,齿轮油压力低,215,5
boolean,齿轮油过滤器堵塞,216,3
boolean,齿轮油位过低,217,5
boolean,备用,218,-1
boolean,备用,219,-1
boolean,风速信号检测异常,220,5
boolean,风速1信号检测异常,221,3
boolean,风速2信号检测异常,222,3
boolean,发电机转速信号检测异常,223,5
boolean,齿轮箱转速信号检测异常,224,5
boolean,叶轮转速信号检测异常,225,5
boolean,振动传感器100通道1信号检测异常,226,5
boolean,振动传感器100通道2信号检测异常,227,5
boolean,振动传感器101通道1信号检测异常,228,5
boolean,振动传感器101通道2信号检测异常,229,5
boolean,风向信号检测异常,230,5
boolean,变流器测转矩信号检测异常,231,5
boolean,变流器测转速信号检测异常,232,5
boolean,环境温度信号检测异常,233,5
boolean,机舱温度信号检测异常,234,5
boolean,变流器环境温度信号检测异常,235,5
boolean,齿轮油泵压力信号检测异常,236,5
boolean,齿轮油入口压力信号检测异常,237,5
boolean,液压系统压力信号检测异常,238,5
boolean,主轴承温度信号检测异常,239,5
boolean,齿轮油温度信号检测异常,240,5
boolean,齿轮油入口温度信号检测异常,241,5
boolean,齿轮箱前轴承温度信号检测异常,242,5
boolean,齿轮箱后轴承温度信号检测异常,243,5
boolean,发电机前轴承温度信号检测异常,244,5
boolean,发电机后轴承温度信号检测异常,245,5
boolean,发电机定子温度1信号检测异常,246,5
boolean,发电机定子温度2信号检测异常,247,5
boolean,发电机定子温度3信号检测异常,248,5
boolean,备用,249,-1
boolean,备用,250,-1
boolean,备用,251,-1
boolean,备用,252,-1
boolean,备用,253,-1
boolean,备用,254,-1
boolean,备用,255,-1
boolean,温度采集板通信故障,256,5
boolean,电网电压跌落,257,3
boolean,看门狗动作,258,5
boolean,电网频率低持续,259,4
boolean,电网频率高报警,260,3
boolean,校验码错误,261,1
boolean,CF卡内剩余空间不足,262,3
boolean,桨叶2调桨过慢,263,5
boolean,桨叶3调桨过慢,264,5
boolean,桨叶2跟随故障,265,5
boolean,桨叶3跟随故障,266,5
boolean,发电机定转子接头过热,267,5
boolean,桨叶1编码器A故障报警,268,3
boolean,桨叶2编码器A故障报警,269,3
boolean,桨叶3编码器A故障报警,270,3
boolean,桨叶1编码器B故障报警,271,3
boolean,桨叶2编码器B故障报警,272,3
boolean,桨叶3编码器B故障报警,273,3
boolean,B编码器激活时间过长,274,3
boolean,备用,275,-1
boolean,备用,276,-1
boolean,备用,277,-1
boolean,备用,278,-1
boolean,备用,279,-1
boolean,备用,280,-1
boolean,备用,281,-1
boolean,备用,282,-1
boolean,备用,283,-1
boolean,备用,284,-1
boolean,备用,285,-1
boolean,备用,286,-1
boolean,备用,287,-1
boolean,备用,288,-1
boolean,备用,289,-1
boolean,备用,290,-1
boolean,备用,291,-1
boolean,备用,292,-1
boolean,备用,293,-1
boolean,备用,294,-1
boolean,备用,295,-1
boolean,备用,296,-1
boolean,备用,297,-1
boolean,备用,298,-1
boolean,备用,299,-1
boolean,备用,300,-1
